imdbID,Title,Year,Month,Box_Office,IMDB_Value,RT_Value,MC_Value,Vote_Average,Rated,Director,Language,Country,Runtime,Actor_1,Actor_2,Actor_3,Genre_1,Genre_2,Genre_3,Awards,Nominations,Adj_Box_Office,Log_Box_Office,Genre,Sub_Genre
tt6153538,The Little Witch,2018,2,12071331.0,62.0,69.16,69.16,69.16,Unknown,Mike Schaerer,German,Germany,105.0,Karoline Herfurth, Axel Prahl, Luis Vorbach,Family,Comedy,Drama,0.0,0.0,13026194.256113928,16.382472830929377,Drama,Family
tt7216256,Razzia,2017,9,1142659.0,66.0,44.0,69.14,69.14,Not Rated,Nabil Ayouch,French,France,109.0,Maryam Touzani, Arieh Worthalter, Amine Ennaji,Drama,Unknown,Unknown,0.0,0.0,1263162.1623286554,14.049128787650258,Drama,Unknown
tt3774092,Amnesia,2015,8,8700.0,61.0,27.0,59.0,54.0,Unknown,Barbet Schroeder,Catalan,Unknown,96.0,Marthe Keller, Max Riemelt, Bruno Ganz,Drama,Unknown,Unknown,0.0,0.0,9946.28655328521,9.20495454976708,Drama,Unknown
tt8329290,The Golem,2018,8,152228.0,55.0,86.0,63.0,58.010000000000005,Unknown,"Doron Paz, Yoav Paz",English,Israel,95.0,Hani Furstenberg, Ishai Golan, Kirill Cernyakov,Thriller/Horror,Drama,Unknown,0.0,0.0,164269.4992971124,12.00926364648234,Drama,Thriller/Horror
tt8887846,The King and I,2018,11,36623.0,80.0,66.67,66.67,66.67,Unknown,"Gary Halvorson, Bartlett Sher",English,United Kingdom,159.0,Kelli O'Hara, Ken Watanabe, Ruthie Ann Miles,Drama,Music,Unknown,0.0,0.0,39519.94293269403,10.584560707849985,Drama,Music
tt7046974,Swing Kids,2018,12,222001.0,75.0,63.0,81.0,81.0,TV-14,Hyeong-Cheol Kang,Korean,South Korea,133.0,Jared Grimes, Kyung-soo Do, Oh Jung-se,Drama,War,Unknown,0.0,0.0,239561.66482814105,12.386566135878969,Drama,War
tt7236034,I Want to Eat Your Pancreas,2018,9,277019.0,80.0,82.12,82.12,82.12,Not Rated,Shin'ichirô Ushijima,Japanese,Japan,108.0,Mahiro Takasugi, Lynn, Yukiyo Fujii,Romance,Drama,Romance,0.0,0.0,298931.68422226387,12.607970345405102,Drama,Romance
tt6567012,West of Sunshine,2018,8,24760.0,61.0,81.0,64.0,63.0,Unknown,Jason Raftopoulos,English,Australia,78.0,Damian Hill, Ty Perham, Arthur Angel,Drama,Unknown,Unknown,0.0,0.0,26718.559020656536,10.193113697328725,Drama,Unknown
tt4007558,Shaandaar,2015,10,521794.0,36.0,25.0,49.22,49.22,Not Rated,Vikas Bahl,Hindi,India,144.0,Shahid Kapoor, Alia Bhatt, Pankaj Kapur,Comedy,Romance,Unknown,0.0,0.0,596541.683423552,13.298904398084568,Comedy,Romance
tt9381998,Agatha and the Truth of Murder,2018,12,77542.0,63.0,62.36,62.36,62.36,Not Rated,Terry Loane,English,United Kingdom,93.0,Dean Andrews, Ruth Bradley, Bebe Cave,Drama,Mystery,Unknown,0.0,0.0,83675.70692971523,11.3347039745615,Drama,Mystery
tt3831366,To Life!,2014,11,26860.0,68.0,55.0,55.0,55.0,Not Rated,Uwe Janson,German,Germany,90.0,Max Riemelt, Sharon Brauner, Mathieu Carrière,Drama,Unknown,Unknown,0.0,0.0,30744.18001486889,10.33345598751211,Drama,Unknown
tt4330370,Ms J Contemplates Her Choice,2014,7,3993.0,51.0,50.0,50.0,50.0,TV-MA,Jason Lai,English,Singapore,88.0,Kit Chan, Yun Xiang, Bobby Tonelli,Drama,Thriller/Horror,Crime,0.0,0.0,4570.4211019870245,8.427360624498103,Drama,Thriller/Horror
tt4809238,You & I,2014,10,6950.0,59.0,70.57000000000001,70.57000000000001,70.57000000000001,Unrated,Nils Bökamp,German,Germany,85.0,George Taylor, Eric Klotzsch, Michal Grabowski,Romance,Drama,Unknown,0.0,0.0,7955.027963638822,8.98155945599372,Drama,Romance
tt6889668,Ona,2017,11,72909.0,54.0,60.0,60.0,60.0,Unknown,Akan Satayev,Russian,Kazakhstan,64.0,Aisulu Azimbayeva, Yaroslav Stakhovsky, Anastasiya Vostrova,Thriller/Horror,Drama,Unknown,0.0,0.0,80597.87748857703,11.297227594259354,Drama,Thriller/Horror
tt5252396,Open at Night,2017,1,584874.0,55.0,62.16,62.16,62.16,Unknown,Edouard Baer,French,France,97.0,Edouard Baer, Sabrina Ouazani, Audrey Tautou,Drama,Comedy,Unknown,0.0,0.0,646553.9645071801,13.379411945492656,Drama,Comedy
