original_title,imdb_id,release_date,revenue,runtime,vote_average,original_language,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7,genre_8,genre_9,Year,Month
Resurrecting the Champ,tt0416185,2007-06-14,0,112,63.3,en,Drama,,,,,,,,,2007,06
American Pastime,tt0825225,2007-05-14,0,105,71.67,en,Drama,,,,,,,,,2007,05
Molière,tt0796335,2007-01-31,0,115,64.25,fr,Romance,Drama,Comedy,,,,,,,2007,01
Rush Hour 3,tt0293564,2007-08-08,258022233,91,64.26,en,Action,Comedy,Crime,,,,,,,2007,08
The Last Legion,tt0462396,2007-04-19,25303038,102,56.0,en,Action,Adventure,Fantasy,War,,,,,,2007,04
Balls of Fury,tt0424823,2007-08-29,41098065,90,51.84,en,Comedy,Crime,,,,,,,,2007,08
Sydney White,tt0815244,2007-09-21,13620075,108,65.09,en,Comedy,,,,,,,,,2007,09
The Kingdom,tt0431197,2007-08-22,86658558,110,66.68,en,Thriller,Action,Drama,,,,,,,2007,08
Wind Chill,tt0486051,2007-04-27,285000,91,58.09,en,Drama,Horror,Thriller,,,,,,,2007,04
Rocket Science,tt0477078,2007-01-19,0,101,62.0,en,Comedy,Drama,,,,,,,,2007,01
Daddy Day Camp,tt0462244,2007-08-08,18197398,89,48.35,en,Family,Comedy,,,,,,,,2007,08
The Invasion,tt0427392,2007-08-17,40170558,99,59.62,en,Science Fiction,Thriller,Mystery,,,,,,,2007,08
War,tt0499556,2007-08-24,40452643,103,62.74,en,Action,Thriller,,,,,,,,2007,08
Illegal Tender,tt0775488,2007-08-24,3106835,108,63.0,en,Drama,Thriller,Crime,,,,,,,2007,08
The Nanny Diaries,tt0489237,2007-08-24,47817020,106,63.5,en,Comedy,Drama,Romance,,,,,,,2007,08
September Dawn,tt0473700,2007-05-17,0,110,50.43,en,Drama,History,Western,,,,,,,2007,05
Halloween,tt0373883,2007-08-31,80460948,110,62.05,en,Horror,,,,,,,,,2007,08
Death Sentence,tt0804461,2007-08-31,16974459,105,67.17,en,Action,Crime,Drama,Thriller,,,,,,2007,08
2 Days in Paris,tt0841044,2007-02-09,19776159,96,62.93,en,Comedy,Romance,,,,,,,,2007,02
The King of Kong: A Fistful of Quarters,tt0923752,2007-03-25,0,83,77.96000000000001,en,Documentary,,,,,,,,,2007,03
Taxi 4,tt0804540,2007-02-10,65125001,91,55.61,fr,Action,Comedy,,,,,,,,2007,02
The Brothers Solomon,tt0784972,2007-09-07,0,93,50.0,en,Comedy,,,,,,,,,2007,09
The Nines,tt0810988,2007-01-21,0,100,59.47,en,Drama,Fantasy,,,,,,,,2007,01
"Ensemble, c'est tout",tt0792965,2007-02-10,0,97,66.0,fr,Romance,Drama,,,,,,,,2007,02
New Wave,tt1286600,2008-09-19,0,80,56.0,fr,Action,Comedy,Drama,,,,,,,2008,09
The Good Night,tt0484111,2007-01-25,508084,93,53.49,en,Comedy,Drama,Romance,Fantasy,Music,,,,,2007,01
Planet Terror,tt1077258,2007-04-06,0,105,66.35,en,Horror,Action,Thriller,,,,,,,2007,04
3:10 to Yuma,tt0381849,2007-09-06,70016220,122,71.92,en,Western,,,,,,,,,2007,09
Shoot 'Em Up,tt0465602,2007-07-26,26820641,86,64.33,en,Action,Thriller,Comedy,Crime,,,,,,2007,07
The Ten,tt0811106,2007-08-03,785528,96,49.0,en,Comedy,,,,,,,,,2007,08
Atonement,tt0783233,2007-09-07,131016624,123,76.59,en,Drama,Romance,,,,,,,,2007,09
My Winnipeg,tt1093842,2007-09-07,0,80,69.28,en,Comedy,Documentary,Drama,History,,,,,,2007,09
"4 luni, 3 săptămîni și 2 zile",tt1032846,2007-08-24,1185783,114,75.47,ro,Drama,,,,,,,,,2007,08
No End in Sight,tt0912593,2007-07-27,1431623,102,76.62,en,Documentary,,,,,,,,,2007,07
The Brave One,tt0476964,2007-09-12,69766619,122,65.0,en,Crime,Drama,Thriller,,,,,,,2007,09
In the Valley of Elah,tt0478134,2007-08-31,29541790,124,67.6,en,History,Drama,Thriller,Crime,Mystery,,,,,2007,08
December Boys,tt0465436,2007-09-20,46474,105,60.0,en,Drama,Romance,,,,,,,,2007,09
Shanghai Kiss,tt0469184,2007-03-17,0,106,59.71,pt,Comedy,Drama,Romance,,,,,,,2007,03
The Hunting Party,tt0455782,2007-09-03,7644409,101,65.32,en,Action,Adventure,Thriller,Drama,,,,,,2007,09
Eastern Promises,tt0765443,2007-09-14,56106607,101,73.66,en,Thriller,Crime,Mystery,,,,,,,2007,09
Brooklyn Rules,tt0283503,2007-04-30,458232,99,59.12,en,Drama,Action,Thriller,,,,,,,2007,04
In the Shadow of the Moon,tt0925248,2007-01-19,0,109,75.11999999999999,en,Documentary,History,,,,,,,,2007,01
Interview,tt0480269,2007-07-13,0,84,63.37,en,Drama,,,,,,,,,2007,07
The Death and Life of Bobby Z,tt0473188,2007-07-23,413454,97,61.6,en,Drama,Action,Thriller,Crime,,,,,,2007,07
Resident Evil: Extinction,tt0432021,2007-09-20,148412065,94,62.75,en,Horror,Action,Science Fiction,,,,,,,2007,09
Mr. Woodcock,tt0419984,2007-09-14,33683200,87,50.199999999999996,en,Comedy,Romance,,,,,,,,2007,09
Good Luck Chuck,tt0452625,2007-09-21,59192128,101,58.89,en,Comedy,,,,,,,,,2007,09
Into the Wild,tt0758758,2007-09-11,56255142,148,78.1,en,Adventure,Drama,,,,,,,,2007,09
The Game Plan,tt0492956,2007-09-28,147880543,110,64.35,en,Comedy,Family,,,,,,,,2007,09
色‧戒,tt0808357,2007-09-27,67091915,156,71.53999999999999,zh,Action,Drama,Romance,Thriller,,,,,,2007,09
Feast of Love,tt0800027,2007-09-28,3504875,101,62.910000000000004,en,Romance,Drama,,,,,,,,2007,09
Postal,tt0486640,2007-10-18,146741,102,44.91,en,Action,Comedy,,,,,,,,2007,10
The Seeker: The Dark Is Rising,tt0484562,2007-10-05,31852619,94,54.25,en,Adventure,Drama,Fantasy,Family,Thriller,,,,,2007,10
The Heartbreak Kid,tt0408839,2007-10-05,127766650,116,57.03,en,Comedy,Romance,,,,,,,,2007,10
Dan in Real Life,tt0480242,2007-10-26,68474305,98,65.37,en,Comedy,Romance,Drama,,,,,,,2007,10
The Darjeeling Limited,tt0838221,2007-09-07,24377151,92,71.63,en,Adventure,Drama,Comedy,,,,,,,2007,09
