original_title,imdb_id,revenue,runtime,vote_average,original_language,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7,genre_8,genre_9,genre_10,Year,Month
Mary Shelley's Frankenstein,tt0109836,112006296,123,64.12,en,Drama,Horror,Science Fiction,Romance,,,,,,,1994,11
Man of the House,tt0113755,0,96,53.0,en,Action,Comedy,Family,,,,,,,,1995,03
Mixed Nuts,tt0110538,0,97,54.3,en,Comedy,Drama,Romance,,,,,,,,1994,12
Milk Money,tt0110516,18137661,108,63.849999999999994,en,Comedy,Romance,,,,,,,,,1994,08
Miracle on 34th Street,tt0110527,46264384,114,67.08,en,Fantasy,Drama,Family,,,,,,,,1994,11
Miami Rhapsody,tt0113808,5,95,54.0,en,Comedy,Romance,,,,,,,,,1995,01
My Family,tt0113896,0,128,75.0,en,Comedy,Drama,,,,,,,,,1995,05
Murder in the First,tt0113870,29500000,122,71.81,en,Crime,Drama,,,,,,,,,1995,01
Nobody's Fool,tt0110684,0,110,68.67,en,Drama,Comedy,,,,,,,,,1994,12
Nell,tt0110638,106683817,112,65.69,en,Drama,Thriller,,,,,,,,,1994,12
New Jersey Drive,tt0113967,0,98,60.0,en,Crime,Drama,,,,,,,,,1995,04
NEW YORK UNDERCOVER COP,tt0117169,0,93,26.25,en,Action,Thriller,Crime,Drama,,,,,,,1993,08
Beyond Bedlam,tt0106402,0,89,50.0,en,Horror,,,,,,,,,,1994,04
Nina Takes a Lover,tt0110671,0,100,51.67,en,Drama,Romance,,,,,,,,,1994,03
Natural Born Killers,tt0110632,50283563,118,70.72,en,Crime,Thriller,Drama,,,,,,,,1994,08
Only You,tt0110737,20059210,115,68.31,en,Romance,Comedy,,,,,,,,,1994,09
Once Were Warriors,tt0110729,1608570,99,73.73,en,Drama,,,,,,,,,,1994,09
Poison Ivy 2: Lily,tt0114151,0,106,48.040000000000006,en,Drama,Romance,Thriller,,,,,,,,1996,01
Outbreak,tt0114069,189859560,127,65.36,en,Action,Drama,Science Fiction,Thriller,,,,,,,1995,03
Léon: The Professional,tt0110413,45284974,111,83.21,en,Crime,Drama,Action,,,,,,,,1994,09
The Perez Family,tt0114113,2832826,113,65.17,en,Comedy,Drama,Romance,,,,,,,,1995,05
A Pyromaniac's Love Story,tt0114210,345972,94,50.0,en,Comedy,Drama,Romance,,,,,,,,1995,04
Pulp Fiction,tt0110912,214179088,154,85.0,en,Thriller,Crime,,,,,,,,,1994,09
Pushing Hands,tt0105652,152322,105,71.2,zh,Comedy,Drama,,,,,,,,,1991,12
Priest,tt0110889,4176932,98,66.0,en,Drama,Romance,,,,,,,,,1995,03
Quiz Show,tt0110932,24822619,133,72.61999999999999,en,History,Drama,Mystery,,,,,,,,1994,08
Picture Bride,tt0114129,0,94,62.0,en,Drama,History,,,,,,,,,1995,05
La Reine Margot,tt0110963,1318578,138,72.43,fr,Drama,History,Romance,,,,,,,,1994,05
The Quick and the Dead,tt0114214,18636537,107,65.1,en,Western,Action,Thriller,,,,,,,,1995,02
Roommates,tt0114296,12400000,108,63.0,en,Drama,Comedy,,,,,,,,,1995,03
Prêt-à-Porter,tt0110907,11300653,133,52.910000000000004,en,Drama,Comedy,,,,,,,,,1994,12
Trois couleurs : Rouge,tt0111495,0,100,80.0,fr,Drama,Mystery,Romance,,,,,,,,1994,05
Trois couleurs : Bleu,tt0108394,0,98,76.82000000000001,fr,Drama,,,,,,,,,,1993,08
Trois couleurs : Blanc,tt0111507,0,92,74.68,fr,Comedy,Drama,Mystery,,,,,,,,1994,01
Rent-a-Kid,tt0114268,0,85,57.0,en,Comedy,Family,TV Movie,,,,,,,,1995,01
Relative Fear,tt0110965,0,90,47.0,en,Horror,Drama,,,,,,,,,1995,10
Stuart Saves His Family,tt0114571,0,95,46.31999999999999,en,Comedy,Drama,,,,,,,,,1995,04
