,Release Group,Rollout,Markets,Domestic,International,Worldwide,imdb_id,Area,Release Date,Opening,Gross,Filmmakers,Role,# Releases,Lifetime Gross,Rank
0,,,,,,,tt0114323,Domestic,"Jun 23, 1995","$15,830","$512,245",,,,,
0,,,,,,,tt0114345,Domestic,"Oct 13, 1995","$4,119,086","$10,382,407",,,,,
0,Original Release,"September 22, 1995",Domestic,"$20,350,754",–,"$20,350,754",tt0114436,,,,,,,,,
0,,,,,,,tt0114478,Domestic,"Jun 9, 1995","$70,744","$8,367,636",,,,,
0,,,,,,,tt0114496,Domestic,"Aug 4, 1995","$11,115,697","$50,865,589",,,,,
0,,,,,,,tt0114508,Domestic,"Jul 7, 1995","$17,161,943","$60,074,103",,,,,
0,,,,,,,tt0114558,Domestic,"Oct 6, 1995","$31,062","$7,959,291",,,,,
0,Original Release,"February 13, 2004",Domestic,"$28,030","$8,402","$36,432",tt0058450,,,,,,,,,
0,,,,,,,tt0114663,Domestic,"Oct 27, 1995","$2,601,093","$7,027,517",,,,,
0,,,,,,,tt0114702,Domestic,"Nov 3, 1995","$131,269","$340,139",,,,,
0,,,,,,,tt0114682,Domestic,"Sep 8, 1995","$9,019,180","$36,474,193",,,,,
0,,,,,,,tt0114781,Domestic,"Jul 14, 1995","$12,624,402","$50,024,083",,,,,
0,,,,,,,tt0114798,Domestic,"Sep 15, 1995","$185,183","$7,929,434",,,,,
0,,,,,,,tt0114805,Domestic,"Aug 4, 1995","$71,275","$2,875,086",,,,,
0,,,,,,,tt0114887,Domestic,"Aug 11, 1995","$9,526,010","$50,008,143",,,,,
0,,,,,,,tt0114898,Domestic,"Jul 28, 1995","$21,171,780","$88,246,220",,,,,
0,,,,,,,tt0114928,Domestic,"Dec 1, 1995","$1,743,251","$3,734,870",,,,,
0,,,,,,,tt0114938,Domestic,"Dec 1, 1995","$987,515","$2,193,982",,,,,
0,,,,,,,tt0109340,Domestic,"Oct 12, 1994","$48,719","$487,391",,,,,
0,,,,,,,tt0112602,Domestic,"Aug 4, 1995","$2,988,468","$7,919,823",,,,,
0,Original Release,"April 21, 1995",Domestic,"$2,302,338",–,"$2,302,338",tt0111579,,,,,,,,,
0,,,,,,,tt0110882,Domestic,"Feb 24, 1995",–,"$763,847",,,,,
0,Original Release,"January 27, 1995",Domestic,"$5,535,405",–,"$5,535,405",tt0112471,,,,,,,,,
0,Original Release,"February 10, 1995",Domestic,"$25,588,734",–,"$25,588,734",tt0112508,,,,,,,,,
0,,,,,,,tt0112438,,,,,Guy Ferland,Director,,,
0,,,,,,,tt0112571,Domestic,"Feb 3, 1995","$4,808,873","$23,440,188",,,,,
0,,,,,,,tt0112757,Domestic,"Apr 21, 1995","$1,206,415","$2,568,425",,,,,
0,,,,,,,tt0112643,,,,,Stuart Gordon,Director,,,
0,,,,,,,tt0112679,Domestic,"Mar 17, 1995","$125,587","$23,389,975",,,,,
0,,,,,,,tt0109445,Domestic,"Oct 19, 1994","$31,665","$3,151,130",,,,,
0,,,,,,,tt0112883,Domestic,"Apr 7, 1995","$4,556,274","$22,150,451",,,,,
0,,,,,,,tt0109635,Domestic,"Dec 9, 1994","$10,068,126","$83,015,089",,,,,
0,,,,,,,tt0109676,Domestic,"Dec 9, 1994","$6,143,566","$28,735,315",,,,,
0,,,,,,,tt0112854,Domestic,"Apr 28, 1995","$676,659","$1,176,982",,,,,
0,,,,,,,tt0109579,Domestic,"Dec 23, 1994","$74,366","$3,103,716",,,,,
0,,,,,,,tt0109642,Domestic,"Mar 24, 1995","$5,721,920","$24,361,867",,,,,
0,Original Release,"December 16, 1994","Domestic, APAC","$127,175,374",$294,"$127,175,668",tt0109686,,,,,,,,,
0,,,,,,,tt0111797,Domestic,"Aug 3, 1994","$155,512","$7,294,403",,,,,
0,,,,,,,tt0109759,Domestic,"Mar 3, 1995","$100,654","$4,221,036",,,,,
0,,,,,,,tt0109758,Domestic,"Oct 14, 1994","$3,012,695","$6,841,570",,,,,
0,Original Release,"September 30, 1994",Domestic,"$5,887,457",–,"$5,887,457",tt0109707,,,,,,,,,
0,,,,,,,tt0113117,Domestic,"May 5, 1995","$9,018,022","$38,896,854",,,,,
0,,,,,,,tt0113097,Domestic,"May 19, 1995","$5,812,656","$33,177,694",,,,,
0,,,,,,,tt0113028,Domestic,"Jan 13, 1995","$4,231,917","$11,642,946",,,,,
0,,,,,,,tt0113198,Domestic,"Apr 7, 1995","$6,129,557","$35,348,597",,,,,
0,,,,,,,tt0113303,Domestic,"Mar 3, 1995","$5,213,455","$12,201,255",,,,,
