,Area,Release Date,Opening,Gross,imdb_id,Release Group,Rollout,Markets,Domestic,International,Worldwide,Filmmakers,Role,APAC,# Releases,Lifetime Gross,Rank
0,Poland,"Feb 6, 2015","$100,544","$235,249",tt3800576,,,,,,,,,,,,
0,Poland,"Feb 5, 2010","$868,939","$4,007,842",tt1455241,,,,,,,,,,,,
0,Poland,"Oct 3, 2014","$676,024","$2,651,650",tt4081260,,,,,,,,,,,,
0,,,,,tt1956447,,,,,,,Tomasz Blachnicki,Director,,,,
0,,,,,tt2896898,,,,,,,Louie Schwartzberg,Director,,,,
0,France,"Jan 17, 2007",–,"$6,668,631",tt0418758,,,,,,,,,,,,
0,,,,,tt3958098,,,,,,,Israel Cárdenas,Director,,,,
0,,,,,tt2497226,,,,,,,John Das,Director,,,,
0,Poland,"May 10, 2013","$621,238","$2,292,776",tt2887426,,,,,,,,,,,,
0,Czech Republic,"Aug 23, 2012","$201,544","$928,474",tt2358514,,,,,,,,,,,,
0,Poland,"Mar 1, 2013","$167,202","$512,829",tt1729641,,,,,,,,,,,,
0,Poland,"Mar 11, 2011","$275,600","$684,957",tt1880984,,,,,,,,,,,,
0,,,,,tt5776858,Original Release,"December 25-May 26, 2018",54 markets,"$21,198,205","$26,558,385","$47,756,590",,,,,,
0,Poland,"Feb 22, 2013",–,"$913,453",tt2670830,,,,,,,,,,,,
0,Poland,"Jan 11, 2013","$727,049","$3,346,429",tt2627146,,,,,,,,,,,,
0,Domestic,"Nov 11, 2014","$1,920","$8,201",tt1946347,,,,,,,,,,,,
0,Poland,"Jan 25, 2013","$248,692","$795,635",tt2670824,,,,,,,,,,,,
0,,,,,tt1765716,,,,,,,Jeremy Dylan,Director,,,,
0,Italy,"May 20, 2017","$498,422","$2,492,254",tt6306400,,,,,,,,,,,,
0,Poland,"Nov 16, 2012","$342,008","$2,742,455",tt2209426,,,,,,,,,,,,
0,,,,,tt1343101,,,,,,,Tomasz Szafranski,Director,,,,
0,Poland,"Oct 19, 2012","$292,972","$1,157,078",tt2209266,,,,,,,,,,,,
0,,,,,tt1381508,,,,,,,Paul Tanter,Director,,,,
0,,,,,tt2336722,,,,,,,Pawel Czarzasty,Director,,,,
0,Domestic,"Sep 30, 2011","$1,678","$13,420",tt1625857,,,,,,,,,,,,
0,United Arab Emirates,"Nov 9, 2017","$9,381","$12,198",tt4314716,,,,,,,,,,,,
0,Poland,"Apr 20, 2012","$63,004","$300,463",tt2055666,,,,,,,,,,,,
0,Poland,"Mar 16, 2012","$398,049","$1,227,758",tt2014266,,,,,,,,,,,,
0,,,,,tt1334272,,,,,,,Seth Green,Director,,,,
0,,,,,tt1691338,,,,,,,Chris McKay,Director,,,,
0,Poland,"Jan 20, 2012","$609,349","$1,965,283",tt2012645,,,,,,,,,,,,
0,,,,,tt1099949,,,,,,,Robert Kirbyson,Director,,,,
0,Poland,"Jan 8, 2010","$1,469,638","$5,692,116",tt1596722,,,,,,,,,,,,
0,Poland,"Aug 5, 2011","$127,105","$597,199",tt1994537,,,,,,,,,,,,
0,Poland,"Jun 3, 2011","$84,573","$798,896",tt1808641,,,,,,,,,,,,
0,,,,,tt1568139,Original Release,"June 10-July 29, 2011","APAC, EMEA",–,"$846,523","$846,523",,,,,,
